z23-CER,z22,z21,z20
0,0,0,0
0.000446802,0,0,0
0.001686871,9.93E-05,0,0
0.019861201,0.00505209,9.93E-05,0
0.004261295,0.000645316,0,0
0.011944834,0.003172926,0,0
0.03103987,0.008110498,0.000496434,0
0.097998908,0.040710706,0.006779767,0.00034753
0.000248248,0,0,0
0.000595691,0.000148956,0,0
0.008307492,0.001786011,0.000148956,0
0.000597378,9.96E-05,0,0
0.002387375,0.000448067,0,0
0.006106253,0.001641933,4.98E-05,0
0.020746243,0.008330927,0.0011944,4.98E-05
0.00029789,0,0,0
0.000694939,0.000148956,0,0
0.008553679,0.001736442,0.000148956,0
0.000597378,4.98E-05,0,0
0.002238331,0.000398292,0,0
0.005066365,0.001443054,4.98E-05,0
0.01757144,0.006551586,0.001045178,4.98E-05
