z23-CER,z22,z21,z20
0,0,0,0
0.003152405,0,0,0
0.00834421,0.000485633,0,0
0.072977855,0.023995058,0.000485633,0
0.020313874,0.003757497,0,0
0.051454724,0.014466896,0,0
0.100043848,0.03846526,0.003152405,0
0.232223253,0.11960978,0.033313735,0.002546946
0.00012143,0,0,0
0.00181991,0.00012143,0,0
0.015065121,0.003515504,0.00012143,0
0.002064095,0,0,0
0.006541823,0.001700152,0,0
0.013760347,0.004728954,0,0
0.037562486,0.016752566,0.003518537,0
0.000242846,0,0,0
0.000607005,0.00012143,0,0
0.006174194,0.001456193,0.00012143,0
0.000364562,0,0,0
0.00121469,0.000243056,0,0
0.003033959,0.000850438,0,0
0.010759024,0.003639645,0.000486053,0
