z23-CER,z22,z21,z20
0,0,0,0
0.001090857,0,0,0
0.00235247,0.00034461,0,0
0.027588279,0.007611079,0.00034461,0
0.007211942,0.00132036,0,0
0.019285577,0.004413494,0,0
0.043599067,0.013408908,0.001262989,0
0.134082635,0.054307438,0.011593634,0.000918696
0.000114883,0,0,0
0.00051687,0,0,0
0.010912046,0.002581683,0,0
0.00190009,0.000230506,0,0
0.004255783,0.001382241,0,0
0.011745344,0.003107359,0.000230506,0
0.035880497,0.015383875,0.002762574,0.000172885
0.00017232,0,0,0
0.00034461,5.74E-05,0,0
0.00664147,0.001377727,5.74E-05,0
0.001669968,0.00011526,0,0
0.004427932,0.000921706,0,0
0.009464444,0.002992444,0.00011526,0
0.030307762,0.012143962,0.002590137,0.00011526
