z23-CER,z22,z21,z20
0,0,0,0
0.000483131,0,0,0
0.001689937,0.000181201,0,0
0.023224097,0.00391869,0.000181201,0
0.004159339,0.000483131,0,0
0.009977299,0.003738166,0,0
0.040591988,0.006322559,0.000483131,0
0.114711748,0.048901328,0.005962349,0.00036237
0.000241595,0,0,0
0.000664245,0.000120805,0,0
0.010575154,0.001750239,0.000120805,0
0.00139076,0.000121012,0,0
0.003322515,0.001088585,0,0
0.011191769,0.00241747,0.000121012,0
0.032147497,0.014417479,0.002055223,6.05E-05
0.000181201,0,0,0
0.00036237,0,0,0
0.00674264,0.001207389,0,0
0.000786319,0.000121012,0,0
0.002296736,0.000544441,0,0
0.009095397,0.001572021,0.000121012,0
0.02491708,0.011012254,0.001269901,0.000121012
