z23-CER,z22,z21,z20
0,0,0,0
0.000711243,0,0,0
0.001212993,0.000209242,0,0
0.016931175,0.003884747,0.000209242,0
0.003926437,0.000753065,0,0
0.010822807,0.003092315,0,0
0.026715962,0.007339055,0.000753065,0
0.084566707,0.033616623,0.005800663,0.000543937
0.000334765,0,0,0
0.000794885,0.00012555,0,0
0.008460166,0.001630925,0.00012555,0
0.00109278,0.000210243,0,0
0.003316679,0.000672621,0,0
0.007958276,0.002016508,0.000210243,0
0.024547505,0.010583091,0.001596737,0.000126151
0.00012555,0,0,0
0.000502106,8.37E-05,0,0
0.005842272,0.001463773,8.37E-05,0
0.000966751,0.000126151,0,0
0.002645834,0.000630595,0,0
0.005744716,0.001932568,0.000126151,0
0.020354248,0.007874835,0.001512762,0.000126151
