z23-CER,z22,z21,z20
0,0,0,0
0.000446802,0,0,0
0.001686871,9.93E-05,0,0
0.019861201,0.00505209,9.93E-05,0
0.004261295,0.000645316,0,0
0.011944834,0.003172926,0,0
0.03103987,0.008110498,0.000496434,0
0.097998908,0.040710706,0.006779767,0.00034753
0.000248248,0,0,0
0.000595691,0.000148956,0,0
0.008307492,0.001786011,0.000148956,0
0.001786011,0.00029789,0,0
0.004607345,0.001339807,0,0
0.013170651,0.00332141,0.000248248,0
0.039089718,0.017083065,0.00267782,0.000248248
0.00029789,0,0,0
0.000694939,0.000148956,0,0
0.008553679,0.001736442,0.000148956,0
0.001339807,0.00034753,0,0
0.004706194,0.00109183,0,0
0.012337261,0.003469872,0.00034753,0
0.035743767,0.015030984,0.002628296,0.00034753
