z23-CER,z22,z21,z20
0,0,0,0
0.00012555,0,0,0
0.000627594,4.19E-05,0,0
0.013262428,0.00725596,4.19E-05,0
0.001547353,0.000209242,0,0
0.010574372,0.00117119,0,0
0.016601958,0.009123932,0.000209242,0
0.043716054,0.022388321,0.008169629,4.19E-05
0.000418439,0,0,0
0.000669419,8.37E-05,0,0
0.005342844,0.001714491,8.37E-05,0
0.001505564,0.000418439,0,0
0.005467724,0.000920336,0,0
0.008999509,0.004384906,0.000376603,0
0.037048617,0.012229424,0.003884747,0.000251085
0.000167397,0,0,0
0.000418439,0,0,0
0.006466205,0.000794885,0,0
0.000669419,0.000167397,0,0
0.005550969,0.000543937,0,0
0.008958032,0.002132214,0.000167397,0
0.021323894,0.011112568,0.001547353,0.00012555
