z23-CER,z22,z21,z20
0,0,0,0
0.000236714,0,0,0
0.000591681,5.92E-05,0,0
0.01235209,0.002541747,5.92E-05,0
0.00265981,0.000295884,0,0
0.007077122,0.001773993,0,0
0.021544926,0.005194799,0.000236714,0
0.063917891,0.026627851,0.004311233,0.000177541
0,0,0,0
0.000118364,0,0,0
0.005077036,0.000591681,0,0
0.000532529,5.92E-05,0,0
0.001714911,0.000355051,0,0
0.00936639,0.001064774,0,0
0.02466713,0.011182301,0.000709975,0
0.000118364,0,0,0
0.000473373,0.000118364,0,0
0.006430476,0.000946522,0.000118364,0
0.000769117,0.000118364,0,0
0.002541747,0.000591681,0,0
0.009893933,0.001478546,0.000118364,0
0.022471063,0.011006713,0.001064774,0.000118364
