z23-CER,z22,z21,z20
0,0,0,0
0.000753065,0,0,0
0.002132214,0.000209242,0,0
0.014912991,0.004968108,0.000209242,0
0.003676273,0.000753065,0,0
0.011567735,0.003384337,0,0
0.021405814,0.009414189,0.000753065,0
0.058057063,0.02850672,0.0075883,0.000753065
0.000920336,0,0,0
0.001463773,0.000167397,0,0
0.011071178,0.002758472,0.000167397,0
0.002549763,0.000962149,0,0
0.00792053,0.002132214,0,0
0.014624341,0.006299861,0.000920336,0
0.035313955,0.018986292,0.004843165,0.000836704
0.000251085,0,0,0
0.000460274,4.19E-05,0,0
0.006133489,0.001630925,4.19E-05,0
0.001296593,0.000292926,0,0
0.004051495,0.001003961,0,0
0.011609104,0.002758472,0.000251085,0
0.027041799,0.014583099,0.002299255,0.000209242
