z23-CER,z22,z21,z20
0,0,0,0
0.000483131,0,0,0
0.001689937,0.000181201,0,0
0.023224097,0.00391869,0.000181201,0
0.004159339,0.000483131,0,0
0.009977299,0.003738166,0,0
0.040591988,0.006322559,0.000483131,0
0.114711748,0.048901328,0.005962349,0.00036237
0.000241595,0,0,0
0.000664245,0.000120805,0,0
0.010575154,0.001750239,0.000120805,0
0.001750239,0.000301984,0,0
0.005361708,0.001569322,0,0
0.018017956,0.003557609,0.000181201,0
0.043543146,0.021452383,0.002895287,0.000120805
0.000181201,0,0,0
0.00036237,0,0,0
0.00674264,0.001207389,0,0
0.001388372,0.000181201,0,0
0.003798345,0.001026374,0,0
0.010634919,0.002413322,0.000120805,0
0.032151622,0.013261036,0.002111975,0.000120805
