z23-CER,z22,z21,z20
0,0,0,0
0.001090857,0,0,0
0.00235247,0.00034461,0,0
0.027588279,0.007611079,0.00034461,0
0.007211942,0.00132036,0,0
0.019285577,0.004413494,0,0
0.043599067,0.013408908,0.001262989,0
0.134082635,0.054307438,0.011593634,0.000918696
0.000114883,0,0,0
0.00051687,0,0,0
0.010912046,0.002581683,0,0
0.002008552,0.000114883,0,0
0.006926747,0.00132036,0,0
0.017311767,0.005042402,0.000114883,0
0.055339104,0.021817513,0.004070286,0.000114883
0.00017232,0,0,0
0.00034461,5.74E-05,0,0
0.00664147,0.001377727,5.74E-05,0
0.00132036,0.00017232,0,0
0.004184702,0.000803905,0,0
0.010855226,0.002581683,0.00017232,0
0.037038538,0.014711579,0.002180526,5.74E-05
