z23-CER,z22,z21,z20
0,0,0,0
0.000711243,0,0,0
0.001212993,0.000209242,0,0
0.016931175,0.003884747,0.000209242,0
0.003926437,0.000753065,0,0
0.010822807,0.003092315,0,0
0.026715962,0.007339055,0.000753065,0
0.084566707,0.033616623,0.005800663,0.000543937
0.000334765,0,0,0
0.000794885,0.00012555,0,0
0.008460166,0.001630925,0.00012555,0
0.001672709,0.000418439,0,0
0.005634207,0.001380187,0,0
0.013055913,0.003342625,0.000376603,0
0.041592317,0.016313802,0.002508016,0.000334765
0.00012555,0,0,0
0.000502106,8.37E-05,0,0
0.005842272,0.001463773,8.37E-05,0
0.001212993,0.00012555,0,0
0.004051495,0.001087579,0,0
0.009165402,0.002674993,0.00012555,0
0.02854738,0.011774561,0.002173977,8.37E-05
