z23-CER,z22,z21,z20
0,0,0,0
0.003152405,0,0,0
0.00834421,0.000485633,0,0
0.072977855,0.023995058,0.000485633,0
0.020313874,0.003757497,0,0
0.051454724,0.014466896,0,0
0.100043848,0.03846526,0.003152405,0
0.232223253,0.11960978,0.033313735,0.002546946
0.00012143,0,0,0
0.00181991,0.00012143,0,0
0.015065121,0.003515504,0.00012143,0
0.003031343,0.000242846,0,0
0.00942744,0.00242581,0,0
0.022096822,0.007018653,0.000242846,0
0.059026923,0.026953679,0.004966579,0.00012143
0.000242846,0,0,0
0.000607005,0.00012143,0,0
0.006174194,0.001456193,0.00012143,0
0.001334924,0.000242846,0,0
0.003999431,0.000728362,0,0
0.008825792,0.002910266,0.000242846,0
0.02612617,0.011830386,0.001941119,0.00012143
