z23-CER,z22,z21,z20,
8.10E-05,0,0,0,
0.005733219,8.10E-05,0,0,
0.020121316,0.003879586,0,0,
0.127202931,0.061136751,0.007904823,0,
0.059995574,0.02139014,0.000485773,0,0
0.142059969,0.069538526,0.010392299,0,0
0.247854085,0.106823922,0.026843155,0.001780015,0
0.529758725,0.332329924,0.139833705,0.037034557,0.003072582
0,0,0,0,
0.000242916,0,0,0,
0.001456612,0,0,0,
0.009831156,0.005169435,0.000647645,0,
0.005008295,0.001699174,0,0,
0.012313804,0.006135726,0.00097131,0,
0.020438676,0.00910922,0.002103314,0,
0.058014248,0.030461612,0.011913798,0.002830353,
0,0,0,0,
0.000323875,0,0,0,
0.000890404,0.000323875,0,0,
0.007583403,0.002830353,0.000485773,0,
0.002668835,0.00105221,0,0,0
0.00854735,0.003314752,0.000647645,0,0
0.017260446,0.005974743,0.001133104,0.000161951,0
0.048353136,0.025818103,0.008306451,0.001699174,0.000323875
