z23-CER,z22,z21,z20,
0,0,0,0,
0.00097131,0,0,0,
0.002830353,0.000566712,0,0,
0.035786011,0.017976445,0.001133104,0,
0.019803853,0.003960251,0,0,0
0.044337192,0.022023936,0.002345719,0,0
0.070291742,0.032579221,0.005169435,0.000161951,0
0.216073525,0.10891913,0.043717852,0.00878819,0.000485773
0,0,0,0,
0.000323875,0,0,0,
0.000728571,0.000242916,0,0,
0.01207382,0.006940251,0.000323875,0,
0.007985161,0.00105221,0,0,0
0.015826881,0.008868457,0.000647645,0,0
0.024238991,0.01311333,0.001133104,0.000161951,0
0.079879238,0.039837879,0.015826881,0.002749597,0.000242916
0,0,0,0,
0.000161951,0,0,0,
0.000485773,0,0,0,
0.004927716,0.003476166,0.000161951,0,
0.003637554,0.000566712,0,0,
0.006296683,0.004282844,0.000323875,0,
0.009590569,0.005411096,0.000809491,0,
0.039059998,0.017896915,0.006296683,0.001780015,
