z23-CER,z22,z21,z20
0,0,0,0
0.002427904,0,0,0
0.005333611,0.000121535,0,0
0.049998143,0.014958326,0.000121535,0
0.01388021,0.002549145,0,0
0.031224887,0.00943555,0,0
0.076749146,0.023778268,0.002185379,0
0.205728018,0.097387286,0.01973571,0.001578809
0,0,0,0
0.000121535,0,0,0
0.002912777,0.000728991,0,0
0.000607529,0,0,0
0.001821481,0.000486053,0,0
0.005091792,0.001336077,0,0
0.014119893,0.006904001,0.001093287,0
0,0,0,0
0,0,0,0
0.002064095,0.000364562,0,0
0.000121535,0,0,0
0.001336077,0,0,0
0.003518537,0.000850438,0,0
0.013280748,0.004849915,0.000486053,0
