z23-CER,z22,z21,z20
0,0,0,0
0.000399423,0,0,0
0.001008762,0.000168198,0,0
0.010936701,0.002687775,0.000168198,0
0.002436103,0.000462475,0,0
0.007186178,0.001890596,0,0
0.018065068,0.005180097,0.000378405,0
0.06231816,0.023870401,0.003924242,0.000378405
0.000231264,0,0,0
0.000630595,8.41E-05,0,0
0.005891046,0.001449776,8.41E-05,0
0.001323792,0.000252286,0,0
0.004154601,0.001050772,0,0
0.008896507,0.002834555,0.000210243,0
0.029172059,0.011477273,0.002037492,0.00018922
0.00018922,0,0,0
0.000315347,6.31E-05,0,0
0.00314901,0.000735656,6.31E-05,0
0.000672621,0.00018922,0,0
0.002142405,0.000567554,0,0
0.005263765,0.001470772,0.00018922,0
0.018787458,0.007123549,0.00109278,8.41E-05
