z23-CER,z22,z21,z20
0,0,0,0
0.000383848,0,0,0
0.00104153,0.000109686,0,0
0.014375053,0.002793236,0.000109686,0
0.002738542,0.000383848,0,0
0.008029954,0.001972507,0,0
0.021109186,0.006287443,0.000383848,0
0.063131877,0.026783683,0.004596468,0.000329022
5.48E-05,0,0,0
0.000109686,0,0,0
0.002902616,0.000548309,0,0
0.00021936,5.48E-05,0,0
0.001644026,0.000109686,0,0
0.004432672,0.00098674,5.48E-05,0
0.014104726,0.005578674,0.000712743,0
0.000109686,0,0,0
0.000164524,5.48E-05,0,0
0.002136707,0.000493492,5.48E-05,0
0.000383848,0.000109686,0,0
0.00098674,0.000329022,0,0
0.003230683,0.000822351,0.000109686,0
0.013347418,0.00426885,0.000548309,0.000109686
