z23-CER,z22,z21,z20
0,0,0,0
0.000597378,0,0,0
0.001393328,0.000248951,0,0
0.016494564,0.004347713,0.000248951,0
0.003628543,0.000647144,0,0
0.010156377,0.002635732,0,0
0.024615339,0.007219213,0.00054761,0
0.083069568,0.031222911,0.005759744,0.00049784
4.98E-05,0,0,0
0.000273843,0,0,0
0.004496443,0.000920809,0,0
0.000672026,7.47E-05,0,0
0.002685396,0.000522726,0,0
0.006576321,0.001840772,4.98E-05,0
0.022135038,0.00887398,0.001393328,4.98E-05
9.96E-05,0,0,0
0.000224059,4.98E-05,0,0
0.002586065,0.000622261,4.98E-05,0
0.000472954,9.96E-05,0,0
0.001592217,0.000373403,0,0
0.004000592,0.0011944,9.96E-05,0
0.015588096,0.005462641,0.000945684,7.47E-05
