z23-CER,z22,z21,z20
0,0,0,0
0.000298734,0,0,0
0.000846181,0.000149378,0,0
0.016543538,0.002288015,0.000149378,0
0.001989875,0.000373403,0,0
0.009564707,0.001467916,0,0
0.022694871,0.007589923,0.000248951,0
0.067040378,0.027840019,0.005338822,0.000224059
7.47E-05,0,0,0
0.000298734,0,0,0
0.003802183,0.000846181,0,0
0.000771546,9.96E-05,0,0
0.002138956,0.00049784,0,0
0.005190218,0.001617075,7.47E-05,0
0.016543538,0.006798908,0.001169531,4.98E-05
2.49E-05,0,0,0
0.000248951,0,0,0
0.002511561,0.00054761,0,0
0.000448067,4.98E-05,0,0
0.001368464,0.000323624,0,0
0.003702964,0.000970559,2.49E-05,0
0.012986563,0.004942497,0.000696907,2.49E-05
